arch,seed,case_id,klass,klass_name,dice,hd95
baseline,2,pancreas_158,1,pancreas,0.6249107780826354,4.123105625617661
baseline,2,pancreas_158,2,mass,0.19464720390596787,24.02914139223983
baseline,2,pancreas_313,1,pancreas,0.6331016344856093,2.23606797749979
baseline,2,pancreas_313,2,mass,0.017167384083331794,23.79390282559126
baseline,2,pancreas_312,1,pancreas,0.6349206350342607,15.329709716755891
baseline,2,pancreas_312,2,mass,0.21794872296186715,17.0
baseline,2,pancreas_055,1,pancreas,0.5894378195082116,9.066394826338783
baseline,2,pancreas_055,2,mass,1.2820512656147274e-08,14.104242242650708
baseline,2,pancreas_286,1,pancreas,0.8293921175912636,1.4142135623730951
baseline,2,pancreas_286,2,mass,3.875968977224926e-09,19.305425530412304
baseline,2,pancreas_081,1,pancreas,0.4533155170447109,18.05547008526779
baseline,2,pancreas_081,2,mass,0.009389673686878701,23.166778408919907
baseline,2,pancreas_070,1,pancreas,0.4586092716725692,4.58257569495584
baseline,2,pancreas_070,2,mass,0.7093364652323333,2.2467390657639497
baseline,2,pancreas_050,1,pancreas,0.2824698370182861,21.377481472442124
baseline,2,pancreas_050,2,mass,0.013761470151923234,21.456922973197287
baseline,2,pancreas_165,1,pancreas,0.700694943757322,2.23606797749979
baseline,2,pancreas_165,2,mass,2.1276595291987334e-08,26.11510157911178
baseline,2,pancreas_378,1,pancreas,0.7269730819031361,4.123105625617661
baseline,2,pancreas_378,2,mass,2.6178010402675366e-09,33.36240383029119
baseline,2,pancreas_326,1,pancreas,0.6487922706162337,3.0
baseline,2,pancreas_326,2,mass,0.4834605611107874,3.0
baseline,2,pancreas_346,1,pancreas,0.4745519717028301,9.321727286463966
baseline,2,pancreas_346,2,mass,2.8571427755102065e-08,
baseline,2,pancreas_375,1,pancreas,0.818138576214026,1.4142135623730951
baseline,2,pancreas_375,2,mass,0.02521008812936938,5.0990195135927845
baseline,2,pancreas_005,1,pancreas,0.6012894469627944,7.0710678118654755
baseline,2,pancreas_005,2,mass,2.564102557527942e-09,10.04987562112089
baseline,2,pancreas_405,1,pancreas,0.6425546930764723,4.123105625617661
baseline,2,pancreas_405,2,mass,3.124999990234375e-09,46.64867434985209
baseline,2,pancreas_110,1,pancreas,0.6193482341546923,3.605551275463989
baseline,2,pancreas_110,2,mass,4.878048756692445e-09,17.233687939614086
baseline,2,pancreas_229,1,pancreas,0.5730211818358357,4.123105625617661
baseline,2,pancreas_229,2,mass,0.0693641636428436,11.061172438415014
baseline,2,pancreas_311,1,pancreas,0.60057061348064,3.4641016151377544
baseline,2,pancreas_311,2,mass,0.18875502170932726,4.898979485566356
baseline,2,pancreas_113,1,pancreas,0.6596073241054923,6.0
baseline,2,pancreas_113,2,mass,0.14757878620478185,8.734815765050413
baseline,2,pancreas_228,1,pancreas,0.5890682527360328,4.898979485566356
baseline,2,pancreas_228,2,mass,0.5267857163982781,4.123105625617661
baseline,2,pancreas_088,1,pancreas,0.5210300429698466,6.476859875359096
baseline,2,pancreas_088,2,mass,0.4771784235076875,5.196152422706632
baseline,2,pancreas_253,1,pancreas,0.6921515562611126,3.3166247903554
baseline,2,pancreas_253,2,mass,1.5873015621063245e-08,
baseline,2,pancreas_392,1,pancreas,0.5037993921601064,7.14142842854285
baseline,2,pancreas_392,2,mass,0.059957175460477144,24.754794544513558
baseline,2,pancreas_198,1,pancreas,0.7381268241607517,1.7320508075688772
baseline,2,pancreas_198,2,mass,0.5608856104764368,18.220784503541008
baseline,2,pancreas_129,1,pancreas,0.684528190831072,2.23606797749979
baseline,2,pancreas_129,2,mass,1.769911501292192e-09,20.57163811334486
baseline,2,pancreas_225,1,pancreas,0.7034358047552557,2.449489742783178
baseline,2,pancreas_225,2,mass,0.26048565284661,8.387019743012296
baseline,2,pancreas_103,1,pancreas,0.6721088435931787,3.7416573867739413
baseline,2,pancreas_103,2,mass,0.19619326618419727,4.763413063833447
baseline,2,pancreas_236,1,pancreas,0.611695138103911,4.58257569495584
baseline,2,pancreas_236,2,mass,0.6416382264790504,1.6049159094905625
baseline,2,pancreas_179,1,pancreas,0.6945309026913002,2.23606797749979
baseline,2,pancreas_179,2,mass,0.16666666890681003,8.191233470265606
baseline,2,pancreas_358,1,pancreas,0.683775554657726,3.3166247903554
baseline,2,pancreas_358,2,mass,3.802281354363949e-09,31.937404174723753
baseline,2,pancreas_296,1,pancreas,0.705882352983581,2.8284271247461903
baseline,2,pancreas_296,2,mass,0.22601279482726483,36.74708277455831
baseline,2,pancreas_092,1,pancreas,0.6789405685791535,2.23606797749979
baseline,2,pancreas_092,2,mass,0.2154696154268795,5.0
baseline,2,pancreas_256,1,pancreas,0.6959873045350289,3.0
baseline,2,pancreas_256,2,mass,3.6496350231765146e-09,17.46415486220821
baseline,2,pancreas_235,1,pancreas,0.6737288136086972,4.242640687119285
baseline,2,pancreas_235,2,mass,0.19655172552318667,25.49115566024345
baseline,2,pancreas_419,1,pancreas,0.4312138729419626,14.609918212877034
baseline,2,pancreas_419,2,mass,0.04545454979338841,15.353837579648772
baseline,2,pancreas_294,1,pancreas,0.7390599676379538,2.0
baseline,2,pancreas_294,2,mass,0.03407155190107061,7.874007874011811
baseline,2,pancreas_077,1,pancreas,0.6324358172338893,3.0
baseline,2,pancreas_077,2,mass,0.5997322629186984,3.0
baseline,2,pancreas_212,1,pancreas,0.747221660992681,2.0
baseline,2,pancreas_212,2,mass,0.20377358791028835,8.06225774829855
baseline,2,pancreas_280,1,pancreas,0.7562642369483172,1.7320508075688772
baseline,2,pancreas_280,2,mass,0.04400978228848464,8.602325267042627
baseline,2,pancreas_145,1,pancreas,0.6042846590484401,3.7416573867739413
baseline,2,pancreas_145,2,mass,0.302158278401739,3.0
baseline,2,pancreas_334,1,pancreas,0.6245278268384468,6.0
baseline,2,pancreas_334,2,mass,2.5641024983563464e-08,12.470550359108751
baseline,2,pancreas_105,1,pancreas,0.6891231679894257,3.1054804791094246
baseline,2,pancreas_105,2,mass,9.345794305179493e-09,15.243023170488893
