arch,seed,case_id,klass,klass_name,dice,hd95
baseline,0,pancreas_158,1,pancreas,0.775294318414043,1.4142135623730951
baseline,0,pancreas_158,2,mass,0.029304032859692186,20.257094101805436
baseline,0,pancreas_313,1,pancreas,0.7053771471797279,2.449489742783178
baseline,0,pancreas_313,2,mass,0.21818181995867766,28.93958062496659
baseline,0,pancreas_312,1,pancreas,0.675658720302491,2.8284271247461903
baseline,0,pancreas_312,2,mass,0.0481927768181158,7.210769158911685
baseline,0,pancreas_055,1,pancreas,0.6983261970225133,3.3166247903554
baseline,0,pancreas_055,2,mass,0.0384615477071005,11.986274075101308
baseline,0,pancreas_286,1,pancreas,0.8436236182470176,1.4142135623730951
baseline,0,pancreas_286,2,mass,7.751937924403582e-09,
baseline,0,pancreas_081,1,pancreas,0.46463142226885606,18.910302795562227
baseline,0,pancreas_081,2,mass,2.55102040165556e-09,24.186773244895647
baseline,0,pancreas_070,1,pancreas,0.47573075905719214,5.0990195135927845
baseline,0,pancreas_070,2,mass,0.666256914771815,3.185429729696429
baseline,0,pancreas_050,1,pancreas,0.36382217696376545,18.05547008526779
baseline,0,pancreas_050,2,mass,0.07667731924384244,17.4928556845359
baseline,0,pancreas_165,1,pancreas,0.7731336072062976,1.4142135623730951
baseline,0,pancreas_165,2,mass,6.493506451340867e-09,24.884688084883845
baseline,0,pancreas_378,1,pancreas,0.8049067383960836,2.23606797749979
baseline,0,pancreas_378,2,mass,9.090909008264463e-09,28.02498068805705
baseline,0,pancreas_326,1,pancreas,0.6622902991338948,3.3166247903554
baseline,0,pancreas_326,2,mass,0.46153846371846774,2.23606797749979
baseline,0,pancreas_346,1,pancreas,0.3262902669462105,19.110203833576033
baseline,0,pancreas_346,2,mass,2.8571427755102065e-08,
baseline,0,pancreas_375,1,pancreas,0.8241895262119405,1.4142135623730951
baseline,0,pancreas_375,2,mass,5.813953454570038e-09,9.433981132056603
baseline,0,pancreas_005,1,pancreas,0.6152562177240433,8.848637522878555
baseline,0,pancreas_005,2,mass,0.021660653351405584,13.505370308655316
baseline,0,pancreas_405,1,pancreas,0.7297700806614258,3.0
baseline,0,pancreas_405,2,mass,4.4642856943558675e-09,11.135438196954183
baseline,0,pancreas_110,1,pancreas,0.6398151205612718,3.0
baseline,0,pancreas_110,2,mass,4.566210024811826e-09,21.208478867913747
baseline,0,pancreas_229,1,pancreas,0.6729081335070485,3.0
baseline,0,pancreas_229,2,mass,0.03761755787580703,17.663247781135986
baseline,0,pancreas_311,1,pancreas,0.513248638926815,6.4031242374328485
baseline,0,pancreas_311,2,mass,2.9940119670837962e-09,8.306623862918075
baseline,0,pancreas_113,1,pancreas,0.676829977926588,5.830951894845301
baseline,0,pancreas_113,2,mass,0.0018382362115457386,11.224972160321824
baseline,0,pancreas_228,1,pancreas,0.5826063971497207,4.0
baseline,0,pancreas_228,2,mass,0.39810426825543,5.385164807134504
baseline,0,pancreas_088,1,pancreas,0.5529808300449778,7.280109889280518
baseline,0,pancreas_088,2,mass,0.2691839224913618,19.59318314389509
baseline,0,pancreas_253,1,pancreas,0.703173615524837,3.7416573867739413
baseline,0,pancreas_253,2,mass,1.3157894563711913e-08,25.490637214234724
baseline,0,pancreas_392,1,pancreas,0.5387766634356863,8.18535277187245
baseline,0,pancreas_392,2,mass,1.996007980047888e-09,24.663664292363062
baseline,0,pancreas_198,1,pancreas,0.7395295468331814,2.23606797749979
baseline,0,pancreas_198,2,mass,0.3058823570242214,3.1622776601683795
baseline,0,pancreas_129,1,pancreas,0.6652524395891314,3.0
baseline,0,pancreas_129,2,mass,1.8416206227594464e-09,21.599765446951178
baseline,0,pancreas_225,1,pancreas,0.7569060773900369,3.1622776601683795
baseline,0,pancreas_225,2,mass,0.13065327070023483,3.7416573867739413
baseline,0,pancreas_103,1,pancreas,0.6165793751821239,4.123105625617661
baseline,0,pancreas_103,2,mass,0.023688664934536946,10.295630140987
baseline,0,pancreas_236,1,pancreas,0.589530041763971,7.245606220104248
baseline,0,pancreas_236,2,mass,0.3979057623146295,4.342329219213245
baseline,0,pancreas_179,1,pancreas,0.7373668706690761,2.0
baseline,0,pancreas_179,2,mass,0.2433460104815741,7.1760987937272676
baseline,0,pancreas_358,1,pancreas,0.6379275451046493,7.483314773547883
baseline,0,pancreas_358,2,mass,1.075268805642271e-08,28.33460711356997
baseline,0,pancreas_296,1,pancreas,0.7208008899164626,2.23606797749979
baseline,0,pancreas_296,2,mass,0.3654618486637312,7.060407640085652
baseline,0,pancreas_092,1,pancreas,0.6984520124772594,2.23606797749979
baseline,0,pancreas_092,2,mass,0.2784810172248037,2.9656854249492377
baseline,0,pancreas_256,1,pancreas,0.6970802920398995,2.23606797749979
baseline,0,pancreas_256,2,mass,4.444444424691358e-09,27.235077231717227
baseline,0,pancreas_235,1,pancreas,0.7661277906441681,2.0
baseline,0,pancreas_235,2,mass,0.3017241409408442,3.040569415042095
baseline,0,pancreas_419,1,pancreas,0.5651595745644592,10.04987562112089
baseline,0,pancreas_419,2,mass,5.076142106212476e-09,7.8293771353382
baseline,0,pancreas_294,1,pancreas,0.727873954536496,2.23606797749979
baseline,0,pancreas_294,2,mass,0.0532915375340258,9.219544457292887
