arch,case_id,klass,klass_name,dice,hd95
sea,pancreas_379,1,pancreas,0.48492,23.38267
sea,pancreas_379,2,mass,0.02198,25.86503
sea,pancreas_266,1,pancreas,0.73122,1.73205
sea,pancreas_266,2,mass,0.26962,5.09902
sea,pancreas_412,1,pancreas,0.55342,5.91608
sea,pancreas_412,2,mass,0.0,24.56317
sea,pancreas_278,1,pancreas,0.71289,22.84183
sea,pancreas_278,2,mass,0.02909,5.40818
sea,pancreas_401,1,pancreas,0.54964,5.0
sea,pancreas_401,2,mass,0.34672,4.58258
sea,pancreas_105,1,pancreas,0.69612,7.14143
sea,pancreas_105,2,mass,0.0,
sea,pancreas_187,1,pancreas,0.61014,8.12404
sea,pancreas_187,2,mass,0.0,
sea,pancreas_215,1,pancreas,0.72496,2.23607
sea,pancreas_215,2,mass,0.29935,7.4153
sea,pancreas_374,1,pancreas,0.70716,4.12311
sea,pancreas_374,2,mass,0.0,11.08828
sea,pancreas_114,1,pancreas,0.70566,4.3589
sea,pancreas_114,2,mass,0.06417,10.0
sea,pancreas_219,1,pancreas,0.71371,1.73205
sea,pancreas_219,2,mass,0.54694,4.12311
sea,pancreas_037,1,pancreas,0.61508,4.24264
sea,pancreas_037,2,mass,0.14113,19.43485
sea,pancreas_069,1,pancreas,0.43078,16.18641
sea,pancreas_069,2,mass,0.0,31.66227
sea,pancreas_064,1,pancreas,0.70363,2.0
sea,pancreas_064,2,mass,0.54847,2.82843
sea,pancreas_149,1,pancreas,0.67254,4.0
sea,pancreas_149,2,mass,0.32982,25.78759
sea,pancreas_256,1,pancreas,0.73634,2.23607
sea,pancreas_256,2,mass,0.0,23.36426
sea,pancreas_158,1,pancreas,0.80825,1.41421
sea,pancreas_158,2,mass,0.03534,20.02994
sea,pancreas_197,1,pancreas,0.63089,4.58258
sea,pancreas_197,2,mass,0.0,7.44267
sea,pancreas_199,1,pancreas,0.74774,2.0
sea,pancreas_199,2,mass,0.69738,22.22611
sea,pancreas_040,1,pancreas,0.77721,3.0
sea,pancreas_040,2,mass,0.59178,5.19615
