arch,case_id,klass,klass_name,dice,hd95
fresnel,pancreas_364,2,mass,0.29647,19.46278
fresnel,pancreas_077,1,pancreas,0.71974,3.0
fresnel,pancreas_077,2,mass,0.57975,4.14104
fresnel,pancreas_166,1,pancreas,0.79476,1.41421
fresnel,pancreas_166,2,mass,0.28652,18.5309
fresnel,pancreas_113,1,pancreas,0.59611,5.83095
fresnel,pancreas_113,2,mass,0.08198,10.61093
fresnel,pancreas_120,1,pancreas,0.42788,19.20937
fresnel,pancreas_120,2,mass,0.10811,11.04988
fresnel,pancreas_379,1,pancreas,0.49691,33.01515
fresnel,pancreas_379,2,mass,0.08333,52.00234
fresnel,pancreas_266,1,pancreas,0.68383,2.0
fresnel,pancreas_266,2,mass,0.4186,10.81665
fresnel,pancreas_412,1,pancreas,0.6079,2.23607
fresnel,pancreas_412,2,mass,0.00952,23.38779
fresnel,pancreas_278,1,pancreas,0.68457,17.20458
fresnel,pancreas_278,2,mass,0.69474,2.0
fresnel,pancreas_401,1,pancreas,0.50361,22.34055
fresnel,pancreas_401,2,mass,0.23709,32.80396
fresnel,pancreas_105,1,pancreas,0.58285,6.47686
fresnel,pancreas_105,2,mass,0.31609,14.20386
fresnel,pancreas_187,1,pancreas,0.64164,7.07107
fresnel,pancreas_187,2,mass,0.0,
fresnel,pancreas_215,1,pancreas,0.68037,4.62571
fresnel,pancreas_215,2,mass,0.30233,21.0238
fresnel,pancreas_374,1,pancreas,0.50949,6.16441
fresnel,pancreas_374,2,mass,0.05984,9.22495
fresnel,pancreas_114,1,pancreas,0.57354,7.68115
fresnel,pancreas_114,2,mass,0.14596,20.91889
fresnel,pancreas_219,1,pancreas,0.61932,2.44949
fresnel,pancreas_219,2,mass,0.25532,4.12311
fresnel,pancreas_037,1,pancreas,0.58614,5.47723
fresnel,pancreas_037,2,mass,0.0621,17.567
fresnel,pancreas_069,1,pancreas,0.43471,8.60233
fresnel,pancreas_069,2,mass,0.11307,19.69772
fresnel,pancreas_064,1,pancreas,0.64413,2.0
fresnel,pancreas_064,2,mass,0.51232,3.0
fresnel,pancreas_149,1,pancreas,0.59757,3.43461
fresnel,pancreas_149,2,mass,0.35,31.32092
fresnel,pancreas_256,1,pancreas,0.6261,8.64549
fresnel,pancreas_256,2,mass,0.04502,19.73828
fresnel,pancreas_158,1,pancreas,0.71664,2.0
fresnel,pancreas_158,2,mass,0.07115,22.56546
fresnel,pancreas_197,1,pancreas,0.52699,21.27198
fresnel,pancreas_197,2,mass,0.05316,6.58759
fresnel,pancreas_199,1,pancreas,0.70498,2.44949
fresnel,pancreas_199,2,mass,0.63972,25.70992
fresnel,pancreas_040,1,pancreas,0.70508,2.82843
fresnel,pancreas_040,2,mass,0.40284,13.74658
baseline,pancreas_382,1,pancreas,0.81252,1.41421
baseline,pancreas_382,2,mass,0.0,24.03642
baseline,pancreas_157,1,pancreas,0.78164,1.41421
baseline,pancreas_157,2,mass,0.26667,9.0
baseline,pancreas_375,1,pancreas,0.73926,2.23607
baseline,pancreas_375,2,mass,0.0,11.38857
baseline,pancreas_094,1,pancreas,0.6848,4.89898
baseline,pancreas_094,2,mass,0.0805,16.0
baseline,pancreas_313,1,pancreas,0.60763,4.12311
baseline,pancreas_313,2,mass,0.09924,18.82939
baseline,pancreas_243,1,pancreas,0.65964,2.23607
baseline,pancreas_243,2,mass,0.08511,16.38095
baseline,pancreas_197,1,pancreas,0.58079,12.34502
baseline,pancreas_197,2,mass,0.0,
baseline,pancreas_110,1,pancreas,0.62223,3.31662
baseline,pancreas_110,2,mass,0.0,17.51142
baseline,pancreas_135,1,pancreas,0.55321,7.34847
baseline,pancreas_135,2,mass,0.17365,15.58679
baseline,pancreas_369,1,pancreas,0.65949,4.12311
baseline,pancreas_369,2,mass,0.0,5.04456
